non_occluded_path,occluded_path,emotion_class,dataset_source,split
LFW\M-LFW-FER\eval\neutral\Tony_Blair_0120.jpg,LFW\M-LFW-FER-masks\eval\neutral\Tony_Blair_0120_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_10247_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10247_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Joschka_Fischer_0016.jpg,LFW\M-LFW-FER-masks\train\neutral\Joschka_Fischer_0016_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Sue_Wicks_0002.jpg,LFW\M-LFW-FER-masks\eval\neutral\Sue_Wicks_0002_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Jennifer_Lopez_0006.jpg,LFW\M-LFW-FER-masks\train\neutral\Jennifer_Lopez_0006_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Jack_Straw_0006.jpg,LFW\M-LFW-FER-masks\train\neutral\Jack_Straw_0006_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_5187.png,AffectNet\neutral\ffhq_5187.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\John_Rigas_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\John_Rigas_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_1468.png,AffectNet\neutral\ffhq_1468.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Megawati_Sukarnoputri_0004.jpg,LFW\M-LFW-FER-masks\train\neutral\Megawati_Sukarnoputri_0004_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Jimmy_Carter_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Jimmy_Carter_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_1281.png,AffectNet\neutral\ffhq_1281.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\George_W_Bush_0504.jpg,LFW\M-LFW-FER-masks\train\neutral\George_W_Bush_0504_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_2651.png,AffectNet\neutral\ffhq_2651.png,neutral,AffectNet,train
AffectNet\neutral\image0015697.jpg,AffectNet\neutral\image0015697.jpg,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Francis_George_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Francis_George_0002_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\BF29NEHL.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\BF29NEHL.jpg,neutral,KDEF,train
LFW\M-LFW-FER\eval\neutral\William_Ford_Jr_0001.jpg,LFW\M-LFW-FER-masks\eval\neutral\William_Ford_Jr_0001_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\AF11NES.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\AF11NES.jpg,neutral,KDEF,train
LFW\M-LFW-FER\train\neutral\Laura_Hernandez_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Laura_Hernandez_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_4464.png,AffectNet\neutral\ffhq_4464.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Barzan_al-Tikriti_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Barzan_al-Tikriti_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Aby_Har-Even_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Aby_Har-Even_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Hanns_Schumacher_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Hanns_Schumacher_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\George_W_Bush_0328.jpg,LFW\M-LFW-FER-masks\train\neutral\George_W_Bush_0328_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_09820_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_09820_aligned.jpg,neutral,RAFDB,train
AffectNet\neutral\ffhq_4065.png,AffectNet\neutral\ffhq_4065.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Mitchell_Garabedian_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Mitchell_Garabedian_0001_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\BF20NEHL.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\BF20NEHL.jpg,neutral,KDEF,train
AffectNet\neutral\ffhq_4332.png,AffectNet\neutral\ffhq_4332.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Petro_Symonenko_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Petro_Symonenko_0002_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Vojislav_Kostunica_0004.jpg,LFW\M-LFW-FER-masks\eval\neutral\Vojislav_Kostunica_0004_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_4291.png,AffectNet\neutral\ffhq_4291.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Dustin_Hoffman_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Dustin_Hoffman_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_1483.png,AffectNet\neutral\ffhq_1483.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_4917.png,AffectNet\neutral\ffhq_4917.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Michael_Arif_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Michael_Arif_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Marwan_Muasher_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Marwan_Muasher_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Fernando_Vargas_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Fernando_Vargas_0001_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\AM29NEHR.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\AM29NEHR.jpg,neutral,KDEF,train
LFW\M-LFW-FER\train\neutral\Sergey_Lavrov_0010.jpg,LFW\M-LFW-FER-masks\train\neutral\Sergey_Lavrov_0010_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Mel_Karmazin_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Mel_Karmazin_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Todd_Haynes_0004.jpg,LFW\M-LFW-FER-masks\eval\neutral\Todd_Haynes_0004_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Sam_Gerald_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Sam_Gerald_0001_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\AM26NEHR.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\AM26NEHR.jpg,neutral,KDEF,train
AffectNet\neutral\ffhq_5514.png,AffectNet\neutral\ffhq_5514.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Pat_Cox_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Pat_Cox_0002_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\BF14NEHR.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\BF14NEHR.jpg,neutral,KDEF,train
LFW\M-LFW-FER\train\neutral\Jesse_Jackson_0008.jpg,LFW\M-LFW-FER-masks\train\neutral\Jesse_Jackson_0008_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_4578.png,AffectNet\neutral\ffhq_4578.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_5282.png,AffectNet\neutral\ffhq_5282.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Habib_Rizieq_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\Habib_Rizieq_0003_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_5434.png,AffectNet\neutral\ffhq_5434.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\George_W_Bush_0195.jpg,LFW\M-LFW-FER-masks\train\neutral\George_W_Bush_0195_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Fernando_Alonso_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Fernando_Alonso_0001_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_10117_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10117_aligned.jpg,neutral,RAFDB,train
AffectNet\neutral\ffhq_5520.png,AffectNet\neutral\ffhq_5520.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Mike_Weir_0007.jpg,LFW\M-LFW-FER-masks\train\neutral\Mike_Weir_0007_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_4738.png,AffectNet\neutral\ffhq_4738.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_464.png,AffectNet\neutral\ffhq_464.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\George_Robertson_0011.jpg,LFW\M-LFW-FER-masks\train\neutral\George_Robertson_0011_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\AM28NEHR.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\AM28NEHR.jpg,neutral,KDEF,train
LFW\M-LFW-FER\train\neutral\Gerhard_Schroeder_0035.jpg,LFW\M-LFW-FER-masks\train\neutral\Gerhard_Schroeder_0035_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Stanley_Nelson_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Stanley_Nelson_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_18.png,AffectNet\neutral\ffhq_18.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Jay_Garner_0006.jpg,LFW\M-LFW-FER-masks\train\neutral\Jay_Garner_0006_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Norman_Mailer_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Norman_Mailer_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\David_Hyde_Pierce_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\David_Hyde_Pierce_0003_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_1718.png,AffectNet\neutral\ffhq_1718.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Jorge_Batlle_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Jorge_Batlle_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_4423.png,AffectNet\neutral\ffhq_4423.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_1887.png,AffectNet\neutral\ffhq_1887.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Serena_Williams_0020.jpg,LFW\M-LFW-FER-masks\train\neutral\Serena_Williams_0020_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_5550.png,AffectNet\neutral\ffhq_5550.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Fidel_Castro_0010.jpg,LFW\M-LFW-FER-masks\train\neutral\Fidel_Castro_0010_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Jake_Gyllenhaal_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Jake_Gyllenhaal_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Gene_Robinson_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Gene_Robinson_0002_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_4986.png,AffectNet\neutral\ffhq_4986.png,neutral,AffectNet,train
RAFDB\RAF-DB\train\7_neutral\train_10176_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10176_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Kofi_Annan_0010.jpg,LFW\M-LFW-FER-masks\train\neutral\Kofi_Annan_0010_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Richard_Lennon_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Richard_Lennon_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Robert_DeFraites_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Robert_DeFraites_0002_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\John_Williams_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\John_Williams_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Paul_William_Hurley_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Paul_William_Hurley_0002_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Hamid_Karzai_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\Hamid_Karzai_0003_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Spencer_Abraham_0005.jpg,LFW\M-LFW-FER-masks\train\neutral\Spencer_Abraham_0005_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Salman_Khan_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Salman_Khan_0001_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_10051_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10051_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Nestor_Kirchner_0014.jpg,LFW\M-LFW-FER-masks\train\neutral\Nestor_Kirchner_0014_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_4116.png,AffectNet\neutral\ffhq_4116.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Peter_Hartz_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Peter_Hartz_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\George_W_Bush_0370.jpg,LFW\M-LFW-FER-masks\train\neutral\George_W_Bush_0370_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Robert_Mueller_0005.jpg,LFW\M-LFW-FER-masks\train\neutral\Robert_Mueller_0005_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Michael_Jasny_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Michael_Jasny_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Ann_Veneman_0009.jpg,LFW\M-LFW-FER-masks\train\neutral\Ann_Veneman_0009_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_10052_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10052_aligned.jpg,neutral,RAFDB,train
AffectNet\neutral\ffhq_2818.png,AffectNet\neutral\ffhq_2818.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_5111.png,AffectNet\neutral\ffhq_5111.png,neutral,AffectNet,train
LFW\M-LFW-FER\eval\neutral\Tom_Ridge_0030.jpg,LFW\M-LFW-FER-masks\eval\neutral\Tom_Ridge_0030_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Michael_Jackson_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Michael_Jackson_0002_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\AM29NEHL.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\AM29NEHL.jpg,neutral,KDEF,train
AffectNet\neutral\ffhq_2827.png,AffectNet\neutral\ffhq_2827.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Scott_Peterson_0005.jpg,LFW\M-LFW-FER-masks\train\neutral\Scott_Peterson_0005_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Allyson_Felix_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Allyson_Felix_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Colin_Powell_0109.jpg,LFW\M-LFW-FER-masks\train\neutral\Colin_Powell_0109_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Peter_Medgyessy_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Peter_Medgyessy_0001_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_10419_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10419_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Marcelo_Salas_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Marcelo_Salas_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Gerry_Adams_0008.jpg,LFW\M-LFW-FER-masks\train\neutral\Gerry_Adams_0008_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_2210.png,AffectNet\neutral\ffhq_2210.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Hugo_Chavez_0044.jpg,LFW\M-LFW-FER-masks\train\neutral\Hugo_Chavez_0044_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Jennifer_Gratz_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Jennifer_Gratz_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_5602.png,AffectNet\neutral\ffhq_5602.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_1050.png,AffectNet\neutral\ffhq_1050.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Mahmoud_Abbas_0023.jpg,LFW\M-LFW-FER-masks\train\neutral\Mahmoud_Abbas_0023_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Noelle_Bush_0004.jpg,LFW\M-LFW-FER-masks\train\neutral\Noelle_Bush_0004_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Paul_Henderson_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Paul_Henderson_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Nebojsa_Pavkovic_0002.jpg,LFW\M-LFW-FER-masks\train\neutral\Nebojsa_Pavkovic_0002_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\James_Mathis_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\James_Mathis_0001_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\AF08NEHR.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\AF08NEHR.jpg,neutral,KDEF,train
LFW\M-LFW-FER\train\neutral\George_W_Bush_0236.jpg,LFW\M-LFW-FER-masks\train\neutral\George_W_Bush_0236_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Svetoslav_Todorov_0001.jpg,LFW\M-LFW-FER-masks\eval\neutral\Svetoslav_Todorov_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Ion_Tiriac_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Ion_Tiriac_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Alejandro_Avila_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\Alejandro_Avila_0003_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_10071_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10071_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Horst_Koehler_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Horst_Koehler_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Donald_Rumsfeld_0015.jpg,LFW\M-LFW-FER-masks\train\neutral\Donald_Rumsfeld_0015_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Joe_Dicaro_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Joe_Dicaro_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Mike_Weir_0004.jpg,LFW\M-LFW-FER-masks\train\neutral\Mike_Weir_0004_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_111.png,AffectNet\neutral\ffhq_111.png,neutral,AffectNet,train
RAFDB\RAF-DB\train\7_neutral\train_10128_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10128_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Fernando_Henrique_Cardoso_0007.jpg,LFW\M-LFW-FER-masks\train\neutral\Fernando_Henrique_Cardoso_0007_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Yevgeny_Kafelnikov_0002.jpg,LFW\M-LFW-FER-masks\eval\neutral\Yevgeny_Kafelnikov_0002_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_5183.png,AffectNet\neutral\ffhq_5183.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_2098.png,AffectNet\neutral\ffhq_2098.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Eduard_Shevardnadze_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Eduard_Shevardnadze_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Junichiro_Koizumi_0032.jpg,LFW\M-LFW-FER-masks\train\neutral\Junichiro_Koizumi_0032_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_1517.png,AffectNet\neutral\ffhq_1517.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_5373.png,AffectNet\neutral\ffhq_5373.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Jose_Maria_Aznar_0021.jpg,LFW\M-LFW-FER-masks\train\neutral\Jose_Maria_Aznar_0021_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Ren_Qingjin_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Ren_Qingjin_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\John_Paul_II_0010.jpg,LFW\M-LFW-FER-masks\train\neutral\John_Paul_II_0010_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Mahmoud_Abbas_0017.jpg,LFW\M-LFW-FER-masks\train\neutral\Mahmoud_Abbas_0017_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_2609.png,AffectNet\neutral\ffhq_2609.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_2490.png,AffectNet\neutral\ffhq_2490.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Igor_Ivanov_0016.jpg,LFW\M-LFW-FER-masks\train\neutral\Igor_Ivanov_0016_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Ilan_Goldfajn_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Ilan_Goldfajn_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_2246.png,AffectNet\neutral\ffhq_2246.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Mitchell_Crooks_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Mitchell_Crooks_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Kent_Rominger_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Kent_Rominger_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Vincent_Gallo_0002.jpg,LFW\M-LFW-FER-masks\eval\neutral\Vincent_Gallo_0002_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_09950_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_09950_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Muhammad_Ali_0005.jpg,LFW\M-LFW-FER-masks\train\neutral\Muhammad_Ali_0005_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_10401_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_10401_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Peter_Arnett_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Peter_Arnett_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Jean_Chretien_0024.jpg,LFW\M-LFW-FER-masks\train\neutral\Jean_Chretien_0024_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\George_W_Bush_0186.jpg,LFW\M-LFW-FER-masks\train\neutral\George_W_Bush_0186_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_179.png,AffectNet\neutral\ffhq_179.png,neutral,AffectNet,train
RAFDB\RAF-DB\train\7_neutral\train_09799_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_09799_aligned.jpg,neutral,RAFDB,train
LFW\M-LFW-FER\train\neutral\Hung_Wan-ting_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Hung_Wan-ting_0001_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_2524.png,AffectNet\neutral\ffhq_2524.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_1267.png,AffectNet\neutral\ffhq_1267.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\James_Blake_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\James_Blake_0003_mask.png,neutral,LFW,train
AffectNet\neutral\ffhq_1945.png,AffectNet\neutral\ffhq_1945.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Peter_Ahearn_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Peter_Ahearn_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Tariq_Aziz_0005.jpg,LFW\M-LFW-FER-masks\eval\neutral\Tariq_Aziz_0005_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Mark_Richt_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\Mark_Richt_0003_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Ben_Lee_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Ben_Lee_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Gerry_Adams_0004.jpg,LFW\M-LFW-FER-masks\train\neutral\Gerry_Adams_0004_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\John_Ashcroft_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\John_Ashcroft_0003_mask.png,neutral,LFW,train
KDEF\KDEF_Sorted_Resized\neutral\AM14NEHL.jpg,KDEF\KDEF_Sorted_Occluded\neutral\img\AM14NEHL.jpg,neutral,KDEF,train
AffectNet\neutral\ffhq_4202.png,AffectNet\neutral\ffhq_4202.png,neutral,AffectNet,train
AffectNet\neutral\ffhq_2172.png,AffectNet\neutral\ffhq_2172.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\George_W_Bush_0012.jpg,LFW\M-LFW-FER-masks\train\neutral\George_W_Bush_0012_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Tom_Ridge_0015.jpg,LFW\M-LFW-FER-masks\eval\neutral\Tom_Ridge_0015_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Antonio_Trillanes_0003.jpg,LFW\M-LFW-FER-masks\train\neutral\Antonio_Trillanes_0003_mask.png,neutral,LFW,train
RAFDB\RAF-DB\train\7_neutral\train_09751_aligned.png,RAFDB\RAF-DB_Occluded\train\7_neutral\hands\img\train_09751_aligned.jpg,neutral,RAFDB,train
AffectNet\neutral\ffhq_509.png,AffectNet\neutral\ffhq_509.png,neutral,AffectNet,train
LFW\M-LFW-FER\train\neutral\Ramon_Cardenas_0001.jpg,LFW\M-LFW-FER-masks\train\neutral\Ramon_Cardenas_0001_mask.png,neutral,LFW,train
LFW\M-LFW-FER\eval\neutral\Tiger_Woods_0014.jpg,LFW\M-LFW-FER-masks\eval\neutral\Tiger_Woods_0014_mask.png,neutral,LFW,train
LFW\M-LFW-FER\train\neutral\Roh_Moo-hyun_0021.jpg,LFW\M-LFW-FER-masks\train\neutral\Roh_Moo-hyun_0021_mask.png,neutral,LFW,train
